State_UT,GSDP - CONSTANT PRICES (` in Crore)_2011-12_gross-domestic-product-gdp-constant-price_economy,GSDP - CONSTANT PRICES (` in Crore)_2012-13_gross-domestic-product-gdp-constant-price_economy,GSDP - CONSTANT PRICES (` in Crore)_2013-14_gross-domestic-product-gdp-constant-price_economy,GSDP - CONSTANT PRICES (` in Crore)_2014-15_gross-domestic-product-gdp-constant-price_economy,GSDP - CONSTANT PRICES (` in Crore)_2015-16_gross-domestic-product-gdp-constant-price_economy,GSDP - CONSTANT PRICES (` in Crore)_2016-17_gross-domestic-product-gdp-constant-price_economy,(% Growth over previous year)_2012-13_gross-domestic-product-gdp-constant-price_economy,(% Growth over previous year)_2013-14_gross-domestic-product-gdp-constant-price_economy,(% Growth over previous year)_2014-15_gross-domestic-product-gdp-constant-price_economy,(% Growth over previous year)_2015-16_gross-domestic-product-gdp-constant-price_economy,(% Growth over previous year)_2016-17_gross-domestic-product-gdp-constant-price_economy,GSDP - CURRENT PRICES (` in Crore)_2011-12_gross-domestic-product-gdp-current-price_economy,GSDP - CURRENT PRICES (` in Crore)_2012-13_gross-domestic-product-gdp-current-price_economy,GSDP - CURRENT PRICES (` in Crore)_2013-14_gross-domestic-product-gdp-current-price_economy,GSDP - CURRENT PRICES (` in Crore)_2014-15_gross-domestic-product-gdp-current-price_economy,GSDP - CURRENT PRICES (` in Crore)_2015-16_gross-domestic-product-gdp-current-price_economy,GSDP - CURRENT PRICES (` in Crore)_2016-17_gross-domestic-product-gdp-current-price_economy,(% Growth over previous year)_2012-13_gross-domestic-product-gdp-current-price_economy,(% Growth over previous year)_2013-14_gross-domestic-product-gdp-current-price_economy,(% Growth over previous year)_2014-15_gross-domestic-product-gdp-current-price_economy,(% Growth over previous year)_2015-16_gross-domestic-product-gdp-current-price_economy,(% Growth over previous year)_2016-17_gross-domestic-product-gdp-current-price_economy,NSDP - CONSTANT PRICES (` in Crore)_2011-12_state-wise-net-domestic-product-ndp-constant-price_economy,NSDP - CONSTANT PRICES (` in Crore)_2012-13_state-wise-net-domestic-product-ndp-constant-price_economy,NSDP - CONSTANT PRICES (` in Crore)_2013-14_state-wise-net-domestic-product-ndp-constant-price_economy,NSDP - CONSTANT PRICES (` in Crore)_2014-15_state-wise-net-domestic-product-ndp-constant-price_economy,NSDP - CONSTANT PRICES (` in Crore)_2015-16_state-wise-net-domestic-product-ndp-constant-price_economy,NSDP - CONSTANT PRICES (` in Crore)_2016-17_state-wise-net-domestic-product-ndp-constant-price_economy,(% Growth over previous year)_2012-13_state-wise-net-domestic-product-ndp-constant-price_economy,(% Growth over previous year)_2013-14_state-wise-net-domestic-product-ndp-constant-price_economy,(% Growth over previous year)_2014-15_state-wise-net-domestic-product-ndp-constant-price_economy,(% Growth over previous year)_2015-16_state-wise-net-domestic-product-ndp-constant-price_economy,(% Growth over previous year)_2016-17_state-wise-net-domestic-product-ndp-constant-price_economy,NSDP - CURRENT PRICES (` in Crore)_2011-12_state-wise-net-domestic-product-ndp-current-price_economy,NSDP - CURRENT PRICES (` in Crore)_2012-13_state-wise-net-domestic-product-ndp-current-price_economy,NSDP - CURRENT PRICES (` in Crore)_2013-14_state-wise-net-domestic-product-ndp-current-price_economy,NSDP - CURRENT PRICES (` in Crore)_2014-15_state-wise-net-domestic-product-ndp-current-price_economy,NSDP - CURRENT PRICES (` in Crore)_2015-16_state-wise-net-domestic-product-ndp-current-price_economy,NSDP - CURRENT PRICES (` in Crore)_2016-17_state-wise-net-domestic-product-ndp-current-price_economy,(% Growth over previous year)_2012-13_state-wise-net-domestic-product-ndp-current-price_economy,(% Growth over previous year)_2013-14_state-wise-net-domestic-product-ndp-current-price_economy,(% Growth over previous year)_2014-15_state-wise-net-domestic-product-ndp-current-price_economy,(% Growth over previous year)_2015-16_state-wise-net-domestic-product-ndp-current-price_economy,(% Growth over previous year)_2016-17_state-wise-net-domestic-product-ndp-current-price_economy
Andhra Pradesh,379402,380629,407115,441741,490134,547021,0.32,6.96,8.51,10.96,11.61,379402,411404,464272,526468,609934,699307,8.43,12.85,13.4,15.85,14.65,339996,341335,360239,391373,434433,484930,0.39,5.54,8.64,11,11.62,339996,370196,413164,469909,545638,620974,8.88,11.61,13.73,16.12,13.81
Arunachal Pradesh,11063,11299,12348,13541,13963,24005.0,2.14,9.29,9.66,3.12,6.65,11063,12547,14602,16761,18784,29567.0,13.41,16.38,14.79,12.07,10.55,10229,10399,11235,12323,12693,21275.0,1.65,8.05,9.68,3,6.68,10229,11617,13398,15410,17229,26505.0,13.57,15.32,15.02,11.8,10.73
Assam,143175,147342,154525,166709,179595,24005.0,2.91,4.88,7.88,5.346666666666667,6.65,143175,156864,177745,198098,224234,29567.0,9.56,13.31,11.45,13.19,10.55,129354,132518,138725,149313,160724,21275.0,2.45,4.68,7.63,5.286666666666666,6.68,129354,142039,160442,178479,201758,26505.0,9.81,12.96,11.24,10.24,10.73
Bihar,247144,256851,269650,304766,326535,314364.0,3.93,4.98,13.02,7.14,7.94,247144,282368,317101,373920,413503,378991.0,14.25,12.3,17.92,10.59,10.85,228497,236932,246915,279711,299814,273914.0,3.69,4.21,13.28,7.19,8.14,228497,261327,292143,345571,382223,334067.0,14.37,11.79,18.29,10.61,11.27
Chhattisgarh,158074,165937,182229,196023,209012,223932,4.97,9.82,7.57,7.97,12.21,158074,177511,206690,234982,260776,290140,12.3,16.44,13.69,10.98,11.26,142273,148719,163187,175414,184693,198922,4.53,9.73,7.49,7.61,12.46,142273,159431,185939,211016,233023,256346,12.06,16.63,13.49,12.58,18.18
Goa,42367,35850,31568,34611,37520,42367,-15.38,-11.94,9.64,-15.38,-15.38,42367,38120,35921,40633,45002,42367,-10.02,-5.77,13.12,10.75,-10.02,38009,32453,27971,30675,33584,38009,-14.62,-13.81,9.67,-14.62,-14.62,38009,34567,32043,36290,40659,38009,-9.05,-7.3,13.26,-9.05,-9.05
Gujarat,615606,682650,734284,791569,864314,615606,10.89,7.56,7.8,10.89,10.89,615606,724495,807623,895027,994316,615606,17.69,11.47,10.82,11.09,17.69,532809,596659,641489,695974,761049,532809,11.98,7.51,8.49,11.98,11.98,532809,634572,707456,789949,886092,532809,19.1,11.49,11.66,19.1,19.1
Haryana,297539,320570,346799,366636,399646,434608,7.74,8.18,5.72,8.7325,8.26,297539,347032,400662,437462,485184,547396,16.63,15.45,9.18,10.91,12.82,271152,289414,314224,331413,361231,392729,6.73,8.57,5.47,8.7725,8.09,271152,314353,363590,395890,438140,494090,15.93,15.66,8.88,11.365,12.88
Himachal Pradesh,72720,77384,82847,89032,341666.0,466412.5,6.41,7.06,7.47,8.7325,8.26,72720,82820,94764,104369,420620.6666666667,584890.5,13.89,14.42,10.14,12.33,12.79,60536,64519,69398,74572,303318.6666666667,420629.0,6.58,7.56,7.46,8.7725,8.09,60536,69432,80129,88196,375173.0,529872.5,14.7,15.41,10.07,11.365,12.88
Jammu & Kashmir,78254,80515,85530,85267,95965,466412.5,2.89,6.23,-0.31,8.7325,8.26,78254,87105,95893,100404,118387,584890.5,11.31,10.09,4.7,17.91,12.79,67272,67064,70950,69943,78775,420629.0,-0.31,5.8,-1.42,8.7725,8.09,67272,72963,79966,83217,98063,529872.5,8.46,9.6,4.07,11.365,12.88
Jharkhand,150918,163250,165816,186491,209137,314364.0,8.17,1.57,12.47,12.14,7.94,150918,174724,188567,217107,241955,378991.0,15.77,7.92,15.14,11.44,10.85,137383,149526,150609,169758,192404,273914.0,8.84,0.72,12.71,13.34,8.14,137383,160304,172030,198386,223234,334067.0,16.68,7.31,15.32,12.52,11.27
